                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.1872,                 1.4756,                  2.962,                 1.7873,                0.58477,                0.11146,                0.14371,                 0.0605,                0.58477,                0.11146,                0.14564,                0.03835,                 2.4016,                 1.6493,                 3.4523,                 2.1122,             0.00018586,             0.00018586,             0.00018586
                     46,                 2.1481,                 1.3029,                 3.1395,                 1.9168,                0.66579,                0.09896,                0.19563,                0.08227,                0.66579,                0.09896,                0.19598,                0.05903,                 2.5681,                 1.9895,                 3.4663,                  2.105,              0.0001867,              0.0001867,              0.0001867
                     47,                 2.0242,                 1.3855,                 2.9168,                 1.7216,                0.66579,                0.09896,                0.19563,                0.08227,                0.66579,                0.09896,                0.19598,                0.05903,                 2.5681,                 1.9895,                 3.4663,                  2.105,              0.0001874,              0.0001874,              0.0001874
                     48,                 2.1513,                 1.3036,                  2.903,                  1.871,                0.34762,                0.24687,                0.20666,                0.08642,                0.34762,                0.24687,                0.20666,                0.05748,                 2.5058,                 2.0105,                 3.3737,                 2.0846,             0.00018795,             0.00018795,             0.00018795
                     49,                  2.063,                 1.0477,                 2.7816,                 1.8299,                0.34762,                0.24687,                0.20666,                0.08642,                0.34762,                0.24687,                0.20666,                0.05748,                 2.5058,                 2.0105,                 3.3737,                 2.0846,             0.00018835,             0.00018835,             0.00018835
                     50,                 1.9079,                 1.5446,                 2.7886,                 1.7146,                0.53321,                    0.2,                0.20975,                0.09497,                0.53321,                    0.2,                0.21033,                0.08195,                 2.3976,                 1.6373,                 3.4919,                 2.1208,             0.00018861,             0.00018861,             0.00018861
                     51,                 2.0086,                 1.5401,                 2.6183,                 1.7952,                0.53321,                    0.2,                0.20975,                0.09497,                0.53321,                    0.2,                0.21033,                0.08195,                 2.3976,                 1.6373,                 3.4919,                 2.1208,             0.00018685,             0.00018685,             0.00018685
                     52,                 2.0831,                 1.2861,                 2.8551,                 1.8977,                0.23353,                0.34599,                 0.1996,                0.07992,                0.23353,                0.34599,                0.19963,                0.07806,                 2.4184,                 1.5314,                 3.5942,                 2.1256,             0.00018685,             0.00018685,             0.00018685
                     53,                 1.8804,                 1.2128,                 2.6691,                 1.7219,                0.23353,                0.34599,                 0.1996,                0.07992,                0.23353,                0.34599,                0.19963,                0.07806,                 2.4184,                 1.5314,                 3.5942,                 2.1256,             0.00018319,             0.00018319,             0.00018319
                     54,                 1.9584,                 1.0867,                 2.7344,                 1.7757,                0.25002,                0.33229,                0.19181,                0.08076,                0.25002,                0.33229,                0.19286,                0.07314,                 2.3465,                 1.5393,                 3.4168,                 2.1058,             0.00017952,             0.00017952,             0.00017952
                     55,                 1.9959,                  1.196,                  2.591,                 1.8598,                0.25002,                0.33229,                0.19181,                0.08076,                0.25002,                0.33229,                0.19286,                0.07314,                 2.3465,                 1.5393,                 3.4168,                 2.1058,             0.00017586,             0.00017586,             0.00017586
                     56,                 2.0539,                 1.5214,                 2.6985,                  1.774,                0.28197,                0.33608,                0.20861,                0.09071,                0.28197,                0.33608,                0.20985,                0.08138,                 2.3125,                 1.5555,                 3.2482,                  2.091,              0.0001722,              0.0001722,              0.0001722
                     57,                 2.2633,                 1.4851,                 2.9574,                 1.8039,                0.28197,                0.33608,                0.20861,                0.09071,                0.28197,                0.33608,                0.20985,                0.08138,                 2.3125,                 1.5555,                 3.2482,                  2.091,             0.00016853,             0.00016853,             0.00016853
                     58,                 2.0676,                 1.2098,                 2.7585,                 1.7769,                0.30949,                0.29792,                0.18238,                 0.0738,                0.39241,                0.22292,                0.11724,                0.05955,                 2.3117,                 1.5797,                   3.14,                 2.0944,             0.00016487,             0.00016487,             0.00016487
                     59,                 1.9114,                 1.0475,                 2.6944,                 1.7569,                0.30949,                0.29792,                0.18238,                 0.0738,                0.39241,                0.22292,                0.11724,                0.05955,                 2.3117,                 1.5797,                   3.14,                 2.0944,             0.00016121,             0.00016121,             0.00016121
                     60,                 2.2891,                 1.3881,                 3.1102,                 1.9129,                0.39027,                0.20208,                0.19204,                0.08033,                0.42634,                0.21771,                0.12595,                0.06257,                 2.3619,                 1.5961,                 3.1292,                 2.0924,             0.00015755,             0.00015755,             0.00015755
                     61,                 1.9201,                 1.5114,                 2.7012,                 1.7561,                0.39027,                0.20208,                0.19204,                0.08033,                0.42634,                0.21771,                0.12595,                0.06257,                 2.3619,                 1.5961,                 3.1292,                 2.0924,             0.00015388,             0.00015388,             0.00015388
                     62,                  1.891,                 1.6237,                  2.744,                 1.7521,                0.48936,                0.15568,                0.17589,                0.07227,                0.49207,                0.18531,                0.18401,                0.06445,                  2.461,                 1.5495,                 3.1495,                 2.0812,             0.00015022,             0.00015022,             0.00015022
                     63,                 2.0551,                 1.4071,                 2.6964,                 1.7816,                0.48936,                0.15568,                0.17589,                0.07227,                0.49207,                0.18531,                0.18401,                0.06445,                  2.461,                 1.5495,                 3.1495,                 2.0812,             0.00014656,             0.00014656,             0.00014656
                     64,                  2.028,                 1.1426,                 2.8415,                  1.759,                0.48303,                0.15217,                0.18051,                0.07602,                0.48564,                0.18178,                0.18876,                0.07103,                  2.492,                 1.5491,                 3.1677,                 2.0571,             0.00014289,             0.00014289,             0.00014289
                     65,                 1.9329,                 1.1111,                 2.5486,                 1.7505,                0.48303,                0.15217,                0.18051,                0.07602,                0.48564,                0.18178,                0.18876,                0.07103,                  2.492,                 1.5491,                 3.1677,                 2.0571,             0.00013923,             0.00013923,             0.00013923
                     66,                 1.9707,                 1.4749,                 2.7277,                 1.7458,                0.48023,                0.17801,                 0.1894,                0.08174,                0.48023,                0.17801,                0.19057,                0.07463,                 2.4275,                 1.5901,                 3.1766,                   2.02,             0.00013557,             0.00013557,             0.00013557
                     67,                 2.0223,                 1.1499,                 2.6427,                 1.7686,                0.48023,                0.17801,                 0.1894,                0.08174,                0.48023,                0.17801,                0.19057,                0.07463,                 2.4275,                 1.5901,                 3.1766,                   2.02,             0.00013191,             0.00013191,             0.00013191
                     68,                 1.7396,                 1.1655,                 2.4456,                 1.6556,                0.48118,                0.19969,                0.16226,                0.07509,                0.48118,                0.19969,                0.16226,                 0.0722,                 2.3056,                  1.559,                 3.1439,                 1.9876,             0.00012824,             0.00012824,             0.00012824
                     69,                 1.9267,                 1.2896,                 2.8274,                 1.7746,                0.48118,                0.19969,                0.16226,                0.07509,                0.48118,                0.19969,                0.16226,                 0.0722,                 2.3056,                  1.559,                 3.1439,                 1.9876,             0.00012458,             0.00012458,             0.00012458
                     70,                  1.862,                0.98381,                 2.8341,                 1.7145,                0.32936,                0.26646,                0.17481,                0.08703,                0.39471,                0.26416,                0.14372,                0.06857,                 2.2595,                  1.498,                 3.1179,                 1.9898,             0.00012092,             0.00012092,             0.00012092
                     71,                 1.7944,                 1.2692,                 2.6821,                  1.702,                0.32936,                0.26646,                0.17481,                0.08703,                0.39471,                0.26416,                0.14372,                0.06857,                 2.2595,                  1.498,                 3.1179,                 1.9898,             0.00011725,             0.00011725,             0.00011725
                     72,                 1.8869,                 1.3625,                 2.4563,                 1.7049,                 0.4691,                0.22283,                0.21984,                0.09149,                0.47483,                0.20253,                0.15804,                0.07295,                 2.2476,                 1.4742,                 3.0818,                 2.0065,             0.00011359,             0.00011359,             0.00011359
                     73,                 1.9902,                 1.3848,                 2.7765,                 1.6831,                 0.4691,                0.22283,                0.21984,                0.09149,                0.47483,                0.20253,                0.15804,                0.07295,                 2.2476,                 1.4742,                 3.0818,                 2.0065,             0.00010993,             0.00010993,             0.00010993
                     74,                  1.972,                 1.7083,                 2.8258,                 1.8572,                0.42756,                0.18382,                0.23214,                0.08909,                0.42838,                0.18147,                0.16705,                0.07265,                 2.2526,                 1.4674,                 3.0751,                 2.0038,             0.00010626,             0.00010626,             0.00010626
                     75,                  2.085,                 1.4229,                 2.7708,                 1.6966,                0.42756,                0.18382,                0.23214,                0.08909,                0.42838,                0.18147,                0.16705,                0.07265,                 2.2526,                 1.4674,                 3.0751,                 2.0038,              0.0001026,              0.0001026,              0.0001026
                     76,                 2.0618,                 1.0591,                 2.8043,                 1.9222,                0.56387,                0.19479,                0.14204,                0.06549,                0.56387,                0.19479,                0.14374,                0.05843,                 2.2252,                 1.4699,                 3.1177,                 1.9512,             9.8938e-05,             9.8938e-05,             9.8938e-05
                     77,                  1.904,                 1.0521,                 2.7406,                 1.7018,                0.56387,                0.19479,                0.14204,                0.06549,                0.56387,                0.19479,                0.14374,                0.05843,                 2.2252,                 1.4699,                 3.1177,                 1.9512,             9.5275e-05,             9.5275e-05,             9.5275e-05
                     78,                 1.9282,                 1.0461,                 2.4433,                 1.7629,                0.60757,                0.15521,                0.24791,                 0.0903,                0.61618,                0.18333,                0.19418,                0.08972,                 2.2388,                 1.4963,                 3.1635,                 1.9184,             9.1612e-05,             9.1612e-05,             9.1612e-05
                     79,                 1.9132,                 1.0918,                 2.5705,                 1.6766,                0.60757,                0.15521,                0.24791,                 0.0903,                0.61618,                0.18333,                0.19418,                0.08972,                 2.2388,                 1.4963,                 3.1635,                 1.9184,             8.7949e-05,             8.7949e-05,             8.7949e-05
                     80,                 1.9078,                 1.1275,                 2.6771,                 1.6635,                  0.344,                0.30974,                0.22586,                0.07004,                 0.3457,                0.32536,                0.16513,                0.07188,                 2.2598,                 1.5682,                 3.1803,                 1.9092,             8.4286e-05,             8.4286e-05,             8.4286e-05
                     81,                 1.8636,                 1.0441,                 2.6272,                 1.6543,                  0.344,                0.30974,                0.22586,                0.07004,                 0.3457,                0.32536,                0.16513,                0.07188,                 2.2598,                 1.5682,                 3.1803,                 1.9092,             8.0623e-05,             8.0623e-05,             8.0623e-05
